"";"genes";"ensembl";"symbol"
"3131";"ENSG00000105549";"ENSG00000105549";"THEG"
"3132";"ENSG00000105550";"ENSG00000105550";"FGF21"
"3133";"ENSG00000105552";"ENSG00000105552";"BCAT2"
"3134";"ENSG00000105556";"ENSG00000105556";"MIER2"
"3135";"ENSG00000105559";"ENSG00000105559";"PLEKHA4"
"3136";"ENSG00000105568";"ENSG00000105568";"PPP2R1A"
"3137";"ENSG00000105576";"ENSG00000105576";"TNPO2"
"3138";"ENSG00000105583";"ENSG00000105583";"WDR83OS"
"3139";"ENSG00000105605";"ENSG00000105605";"CACNG7"
"3140";"ENSG00000105607";"ENSG00000105607";"GCDH"
"3141";"ENSG00000105609";"ENSG00000105609";"LILRB5"
"3142";"ENSG00000105610";"ENSG00000105610";"KLF1"
"3143";"ENSG00000105612";"ENSG00000105612";"DNASE2"
"3144";"ENSG00000105613";"ENSG00000105613";"MAST1"
"3145";"ENSG00000105617";"ENSG00000105617";"LENG1"
"3146";"ENSG00000105618";"ENSG00000105618";"PRPF31"
"3147";"ENSG00000105619";"ENSG00000105619";"TFPT"
"3148";"ENSG00000105639";"ENSG00000105639";"JAK3"
"3149";"ENSG00000105640";"ENSG00000105640";"RPL18A"
"3150";"ENSG00000105641";"ENSG00000105641";"SLC5A5"
"3151";"ENSG00000105642";"ENSG00000105642";"KCNN1"
"3152";"ENSG00000105643";"ENSG00000105643";"ARRDC2"
"3153";"ENSG00000105647";"ENSG00000105647";"PIK3R2"
"3154";"ENSG00000105649";"ENSG00000105649";"RAB3A"
"3155";"ENSG00000105650";"ENSG00000105650";"PDE4C"
"3156";"ENSG00000105655";"ENSG00000105655";"ISYNA1"
"3157";"ENSG00000105656";"ENSG00000105656";"ELL"
"3158";"ENSG00000105662";"ENSG00000105662";"CRTC1"
"3159";"ENSG00000105664";"ENSG00000105664";"COMP"
"3160";"ENSG00000105668";"ENSG00000105668";"UPK1A"
"3161";"ENSG00000105669";"ENSG00000105669";"COPE"
"3162";"ENSG00000105671";"ENSG00000105671";"DDX49"
"3163";"ENSG00000105672";"ENSG00000105672";"ETV2"
"3164";"ENSG00000105675";"ENSG00000105675";"ATP4A"
"3165";"ENSG00000105676";"ENSG00000105676";"ARMC6"
"3166";"ENSG00000105677";"ENSG00000105677";"TMEM147"
"3167";"ENSG00000105679";"ENSG00000105679";"GAPDHS"
"3168";"ENSG00000105694";"ENSG00000105694";"ELOCP28"
"3169";"ENSG00000105695";"ENSG00000105695";"MAG"
"3170";"ENSG00000105696";"ENSG00000105696";"TMEM59L"
"3171";"ENSG00000105697";"ENSG00000105697";"HAMP"
"3172";"ENSG00000105698";"ENSG00000105698";"USF2"
"3173";"ENSG00000105699";"ENSG00000105699";"LSR"
"3174";"ENSG00000105700";"ENSG00000105700";"KXD1"
"3175";"ENSG00000105701";"ENSG00000105701";"FKBP8"
"3176";"ENSG00000105705";"ENSG00000105705";"SUGP1"
"3177";"ENSG00000105707";"ENSG00000105707";"HPN"
"3178";"ENSG00000105708";"ENSG00000105708";"ZNF14"
"3179";"ENSG00000105711";"ENSG00000105711";"SCN1B"
"3180";"ENSG00000105717";"ENSG00000105717";"PBX4"
"3181";"ENSG00000105722";"ENSG00000105722";"ERF"
"3182";"ENSG00000105723";"ENSG00000105723";"GSK3A"
"3183";"ENSG00000105726";"ENSG00000105726";"ATP13A1"
"3184";"ENSG00000105732";"ENSG00000105732";"ZNF574"
"3185";"ENSG00000105737";"ENSG00000105737";"GRIK5"
"3186";"ENSG00000105738";"ENSG00000105738";"SIPA1L3"
"3187";"ENSG00000105750";"ENSG00000105750";"ZNF85"
"3188";"ENSG00000105755";"ENSG00000105755";"ETHE1"
"3189";"ENSG00000105767";"ENSG00000105767";"CADM4"
"3190";"ENSG00000105771";"ENSG00000105771";"SMG9"
"3191";"ENSG00000105778";"ENSG00000105778";"AVL9"
"3192";"ENSG00000105784";"ENSG00000105784";"RUNDC3B"
"3193";"ENSG00000105792";"ENSG00000105792";"CFAP69"
"3194";"ENSG00000105793";"ENSG00000105793";"GTPBP10"
"3195";"ENSG00000105808";"ENSG00000105808";"RASA4"
"3196";"ENSG00000105810";"ENSG00000105810";"CDK6"
"3197";"ENSG00000105819";"ENSG00000105819";"PMPCB"
"3198";"ENSG00000105821";"ENSG00000105821";"DNAJC2"
"3199";"ENSG00000105825";"ENSG00000105825";"TFPI2"
"3200";"ENSG00000105829";"ENSG00000105829";"BET1"
"3201";"ENSG00000105835";"ENSG00000105835";"NAMPT"
"3202";"ENSG00000105849";"ENSG00000105849";"POLR1F"
"3203";"ENSG00000105851";"ENSG00000105851";"PIK3CG"
"3204";"ENSG00000105852";"ENSG00000105852";"PON3"
"3205";"ENSG00000105854";"ENSG00000105854";"PON2"
"3206";"ENSG00000105855";"ENSG00000105855";"ITGB8"
"3207";"ENSG00000105856";"ENSG00000105856";"HBP1"
"3208";"ENSG00000105865";"ENSG00000105865";"DUS4L"
"3209";"ENSG00000105866";"ENSG00000105866";"SP4"
"3210";"ENSG00000105875";"ENSG00000105875";"WDR91"
"3211";"ENSG00000105877";"ENSG00000105877";"DNAH11"
"3212";"ENSG00000105879";"ENSG00000105879";"CBLL1"
"3213";"ENSG00000105880";"ENSG00000105880";"DLX5"
"3214";"ENSG00000105887";"ENSG00000105887";"MTPN"
"3215";"ENSG00000105889";"ENSG00000105889";"STEAP1B"
"3216";"ENSG00000105894";"ENSG00000105894";"PTN"
"3217";"ENSG00000105926";"ENSG00000105926";"PALS2"
"3218";"ENSG00000105928";"ENSG00000105928";"GSDME"
"3219";"ENSG00000105929";"ENSG00000105929";"ATP6V0A4"
"3220";"ENSG00000105939";"ENSG00000105939";"ZC3HAV1"
"3221";"ENSG00000105948";"ENSG00000105948";"TTC26"
"3222";"ENSG00000105953";"ENSG00000105953";"OGDH"
"3223";"ENSG00000105954";"ENSG00000105954";"NPVF"
"3224";"ENSG00000105963";"ENSG00000105963";"ADAP1"
"3225";"ENSG00000105967";"ENSG00000105967";"TFEC"
"3226";"ENSG00000105968";"ENSG00000105968";"H2AZ2"
"3227";"ENSG00000105971";"ENSG00000105971";"CAV2"
"3228";"ENSG00000105974";"ENSG00000105974";"CAV1"
"3229";"ENSG00000105976";"ENSG00000105976";"MET"
"3230";"ENSG00000105982";"ENSG00000105982";"RNF32"
"3231";"ENSG00000105983";"ENSG00000105983";"LMBR1"
"3232";"ENSG00000105988";"ENSG00000105988";"NHP2P1"
"3233";"ENSG00000105989";"ENSG00000105989";"WNT2"
"3234";"ENSG00000105991";"ENSG00000105991";"HOXA1"
"3235";"ENSG00000105993";"ENSG00000105993";"DNAJB6"
"3236";"ENSG00000105996";"ENSG00000105996";"HOXA2"
"3237";"ENSG00000105997";"ENSG00000105997";"HOXA3"
"3238";"ENSG00000106003";"ENSG00000106003";"LFNG"
"3239";"ENSG00000106004";"ENSG00000106004";"HOXA5"
"3240";"ENSG00000106006";"ENSG00000106006";"HOXA6"
"3241";"ENSG00000106009";"ENSG00000106009";"BRAT1"
"3242";"ENSG00000106012";"ENSG00000106012";"IQCE"
"3243";"ENSG00000106013";"ENSG00000106013";"ANKRD7"
"3244";"ENSG00000106018";"ENSG00000106018";"VIPR2"
"3245";"ENSG00000106025";"ENSG00000106025";"TSPAN12"
"3246";"ENSG00000106028";"ENSG00000106028";"SSBP1"
"3247";"ENSG00000106031";"ENSG00000106031";"HOXA13"
"3248";"ENSG00000106034";"ENSG00000106034";"CPED1"
"3249";"ENSG00000106038";"ENSG00000106038";"EVX1"
"3250";"ENSG00000106049";"ENSG00000106049";"HIBADH"
"3251";"ENSG00000106052";"ENSG00000106052";"TAX1BP1"
"3252";"ENSG00000106066";"ENSG00000106066";"CPVL"
"3253";"ENSG00000106069";"ENSG00000106069";"CHN2"
"3254";"ENSG00000106070";"ENSG00000106070";"GRB10"
"3255";"ENSG00000106077";"ENSG00000106077";"ABHD11"
"3256";"ENSG00000106078";"ENSG00000106078";"COBL"
"3257";"ENSG00000106080";"ENSG00000106080";"FKBP14"
"3258";"ENSG00000106086";"ENSG00000106086";"PLEKHA8"
"3259";"ENSG00000106089";"ENSG00000106089";"STX1A"
"3260";"ENSG00000106100";"ENSG00000106100";"NOD1"
"3261";"ENSG00000106105";"ENSG00000106105";"GARS1"
"3262";"ENSG00000106113";"ENSG00000106113";"CRHR2"
"3263";"ENSG00000106123";"ENSG00000106123";"EPHB6"
"3264";"ENSG00000106125";"ENSG00000106125";"MINDY4"
"3265";"ENSG00000106128";"ENSG00000106128";"GHRHR"
"3266";"ENSG00000106133";"ENSG00000106133";"NSUN5P2"
"3267";"ENSG00000106144";"ENSG00000106144";"CASP2"
"3268";"ENSG00000106153";"ENSG00000106153";"CHCHD2"
"3269";"ENSG00000106178";"ENSG00000106178";"CCL24"
"3270";"ENSG00000106211";"ENSG00000106211";"HSPB1"
"3271";"ENSG00000106236";"ENSG00000106236";"NPTX2"
"3272";"ENSG00000106244";"ENSG00000106244";"PDAP1"
"3273";"ENSG00000106245";"ENSG00000106245";"BUD31"
"3274";"ENSG00000106246";"ENSG00000106246";"PTCD1"
"3275";"ENSG00000106258";"ENSG00000106258";"CYP3A5"
"3276";"ENSG00000106261";"ENSG00000106261";"ZKSCAN1"
"3277";"ENSG00000106263";"ENSG00000106263";"EIF3B"
"3278";"ENSG00000106266";"ENSG00000106266";"SNX8"
"3279";"ENSG00000106268";"ENSG00000106268";"NUDT1"
"3280";"ENSG00000106278";"ENSG00000106278";"PTPRZ1"
"3281";"ENSG00000106290";"ENSG00000106290";"TAF6"
"3282";"ENSG00000106299";"ENSG00000106299";"WASL"
"3283";"ENSG00000106302";"ENSG00000106302";"HYAL4"
"3284";"ENSG00000106304";"ENSG00000106304";"SPAM1"
"3285";"ENSG00000106305";"ENSG00000106305";"AIMP2"
"3286";"ENSG00000106327";"ENSG00000106327";"TFR2"
"3287";"ENSG00000106328";"ENSG00000106328";"FSCN3"
"3288";"ENSG00000106330";"ENSG00000106330";"MOSPD3"
"3289";"ENSG00000106331";"ENSG00000106331";"PAX4"
"3290";"ENSG00000106333";"ENSG00000106333";"PCOLCE"
"3291";"ENSG00000106336";"ENSG00000106336";"FBXO24"
"3292";"ENSG00000106341";"ENSG00000106341";"PPP1R17"
"3293";"ENSG00000106344";"ENSG00000106344";"RBM28"
"3294";"ENSG00000106346";"ENSG00000106346";"USP42"
"3295";"ENSG00000106348";"ENSG00000106348";"IMPDH1"
"3296";"ENSG00000106351";"ENSG00000106351";"AGFG2"
"3297";"ENSG00000106355";"ENSG00000106355";"LSM5"
"3298";"ENSG00000106366";"ENSG00000106366";"SERPINE1"
"3299";"ENSG00000106367";"ENSG00000106367";"AP1S1"
"3300";"ENSG00000106384";"ENSG00000106384";"MOGAT3"
"3301";"ENSG00000106392";"ENSG00000106392";"C1GALT1"
"3302";"ENSG00000106397";"ENSG00000106397";"PLOD3"
"3303";"ENSG00000106399";"ENSG00000106399";"RPA3"
"3304";"ENSG00000106400";"ENSG00000106400";"ZNHIT1"
"3305";"ENSG00000106404";"ENSG00000106404";"CLDN15"
"3306";"ENSG00000106410";"ENSG00000106410";"NOBOX"
"3307";"ENSG00000106415";"ENSG00000106415";"GLCCI1"
"3308";"ENSG00000106436";"ENSG00000106436";"MYL10"
"3309";"ENSG00000106443";"ENSG00000106443";"PHF14"
"3310";"ENSG00000106459";"ENSG00000106459";"NRF1"
"3311";"ENSG00000106460";"ENSG00000106460";"TMEM106B"
"3312";"ENSG00000106462";"ENSG00000106462";"EZH2"
"3313";"ENSG00000106477";"ENSG00000106477";"CEP41"
"3314";"ENSG00000106479";"ENSG00000106479";"ZNF862"
"3315";"ENSG00000106483";"ENSG00000106483";"SFRP4"
"3316";"ENSG00000106484";"ENSG00000106484";"MEST"
"3317";"ENSG00000106511";"ENSG00000106511";"MEOX2"
"3318";"ENSG00000106524";"ENSG00000106524";"ANKMY2"
"3319";"ENSG00000106526";"ENSG00000106526";"ACTR3C"
"3320";"ENSG00000106536";"ENSG00000106536";"POU6F2"
"3321";"ENSG00000106537";"ENSG00000106537";"TSPAN13"
"3322";"ENSG00000106538";"ENSG00000106538";"RARRES2"
"3323";"ENSG00000106540";"ENSG00000106540";"ENSG00000106540"
"3324";"ENSG00000106541";"ENSG00000106541";"AGR2"
"3325";"ENSG00000106546";"ENSG00000106546";"AHR"
"3326";"ENSG00000106554";"ENSG00000106554";"CHCHD3"
"3327";"ENSG00000106560";"ENSG00000106560";"GIMAP2"
"3328";"ENSG00000106565";"ENSG00000106565";"TMEM176B"
"3329";"ENSG00000106571";"ENSG00000106571";"GLI3"
"3330";"ENSG00000106588";"ENSG00000106588";"PSMA2"
"3331";"ENSG00000106591";"ENSG00000106591";"MRPL32"
"3332";"ENSG00000106603";"ENSG00000106603";"COA1"
"3333";"ENSG00000106605";"ENSG00000106605";"BLVRA"
"3334";"ENSG00000106608";"ENSG00000106608";"URGCP"
"3335";"ENSG00000106609";"ENSG00000106609";"TMEM248"
"3336";"ENSG00000106610";"ENSG00000106610";"STAG3L4"
"3337";"ENSG00000106615";"ENSG00000106615";"RHEB"
"3338";"ENSG00000106617";"ENSG00000106617";"PRKAG2"
"3339";"ENSG00000106624";"ENSG00000106624";"AEBP1"
"3340";"ENSG00000106628";"ENSG00000106628";"POLD2"
"3341";"ENSG00000106631";"ENSG00000106631";"MYL7"
"3342";"ENSG00000106633";"ENSG00000106633";"GCK"
"3343";"ENSG00000106635";"ENSG00000106635";"BCL7B"
"3344";"ENSG00000106636";"ENSG00000106636";"YKT6"
"3345";"ENSG00000106638";"ENSG00000106638";"TBL2"
"3346";"ENSG00000106648";"ENSG00000106648";"GALNTL5"
"3347";"ENSG00000106665";"ENSG00000106665";"CLIP2"
"3348";"ENSG00000106682";"ENSG00000106682";"EIF4H"
"3349";"ENSG00000106683";"ENSG00000106683";"LIMK1"
"3350";"ENSG00000106686";"ENSG00000106686";"SPATA6L"
"3351";"ENSG00000106688";"ENSG00000106688";"SLC1A1"
"3352";"ENSG00000106689";"ENSG00000106689";"LHX2"
"3353";"ENSG00000106692";"ENSG00000106692";"FKTN"
"3354";"ENSG00000106701";"ENSG00000106701";"FSD1L"
"3355";"ENSG00000106714";"ENSG00000106714";"CNTNAP3"
"3356";"ENSG00000106723";"ENSG00000106723";"SPIN1"
"3357";"ENSG00000106733";"ENSG00000106733";"NMRK1"
"3358";"ENSG00000106771";"ENSG00000106771";"TMEM245"
"3359";"ENSG00000106772";"ENSG00000106772";"PRUNE2"
"3360";"ENSG00000106780";"ENSG00000106780";"MEGF9"
"3361";"ENSG00000106785";"ENSG00000106785";"TRIM14"
"3362";"ENSG00000106789";"ENSG00000106789";"CORO2A"
"3363";"ENSG00000106799";"ENSG00000106799";"TGFBR1"
"3364";"ENSG00000106803";"ENSG00000106803";"SEC61B"
"3365";"ENSG00000106804";"ENSG00000106804";"C5"
"3366";"ENSG00000106809";"ENSG00000106809";"OGN"
"3367";"ENSG00000106819";"ENSG00000106819";"ASPN"
"3368";"ENSG00000106823";"ENSG00000106823";"ECM2"
"3369";"ENSG00000106829";"ENSG00000106829";"TLE4"
"3370";"ENSG00000106852";"ENSG00000106852";"LHX6"
"3371";"ENSG00000106853";"ENSG00000106853";"PTGR1"
"3372";"ENSG00000106868";"ENSG00000106868";"SUSD1"
"3373";"ENSG00000106927";"ENSG00000106927";"AMBP"
"3374";"ENSG00000106948";"ENSG00000106948";"AKNA"
"3375";"ENSG00000106952";"ENSG00000106952";"TNFSF8"
"3376";"ENSG00000106976";"ENSG00000106976";"DNM1"
"3377";"ENSG00000106991";"ENSG00000106991";"ENG"
"3378";"ENSG00000106992";"ENSG00000106992";"AK1"
"3379";"ENSG00000106993";"ENSG00000106993";"CDC37L1"
"3380";"ENSG00000107014";"ENSG00000107014";"RLN2"
"3381";"ENSG00000107018";"ENSG00000107018";"RLN1"
"3382";"ENSG00000107020";"ENSG00000107020";"PLGRKT"
"3383";"ENSG00000107021";"ENSG00000107021";"TBC1D13"
"3384";"ENSG00000107036";"ENSG00000107036";"RIC1"
"3385";"ENSG00000107077";"ENSG00000107077";"KDM4C"
"3386";"ENSG00000107099";"ENSG00000107099";"DOCK8"
"3387";"ENSG00000107104";"ENSG00000107104";"KANK1"
"3388";"ENSG00000107105";"ENSG00000107105";"ELAVL2"
"3389";"ENSG00000107130";"ENSG00000107130";"NCS1"
"3390";"ENSG00000107140";"ENSG00000107140";"TESK1"
"3391";"ENSG00000107147";"ENSG00000107147";"KCNT1"
"3392";"ENSG00000107159";"ENSG00000107159";"CA9"
"3393";"ENSG00000107164";"ENSG00000107164";"FUBP3"
"3394";"ENSG00000107165";"ENSG00000107165";"TYRP1"
"3395";"ENSG00000107175";"ENSG00000107175";"CREB3"
"3396";"ENSG00000107185";"ENSG00000107185";"RGP1"
"3397";"ENSG00000107186";"ENSG00000107186";"MPDZ"
"3398";"ENSG00000107187";"ENSG00000107187";"LHX3"
"3399";"ENSG00000107201";"ENSG00000107201";"DDX58"
"3400";"ENSG00000107223";"ENSG00000107223";"EDF1"
"3401";"ENSG00000107242";"ENSG00000107242";"PIP5K1B"
"3402";"ENSG00000107249";"ENSG00000107249";"GLIS3"
"3403";"ENSG00000107262";"ENSG00000107262";"BAG1"
"3404";"ENSG00000107263";"ENSG00000107263";"RAPGEF1"
"3405";"ENSG00000107281";"ENSG00000107281";"NPDC1"
"3406";"ENSG00000107282";"ENSG00000107282";"APBA1"
"3407";"ENSG00000107290";"ENSG00000107290";"SETX"
"3408";"ENSG00000107295";"ENSG00000107295";"SH3GL2"
"3409";"ENSG00000107317";"ENSG00000107317";"PTGDS"
"3410";"ENSG00000107331";"ENSG00000107331";"ABCA2"
"3411";"ENSG00000107338";"ENSG00000107338";"SHB"
"3412";"ENSG00000107341";"ENSG00000107341";"UBE2R2"
"3413";"ENSG00000107362";"ENSG00000107362";"ABHD17B"
"3414";"ENSG00000107371";"ENSG00000107371";"EXOSC3"
"3415";"ENSG00000107372";"ENSG00000107372";"ZFAND5"
"3416";"ENSG00000107404";"ENSG00000107404";"DVL1"
"3417";"ENSG00000107438";"ENSG00000107438";"PDLIM1"
"3418";"ENSG00000107443";"ENSG00000107443";"CCNJ"
"3419";"ENSG00000107447";"ENSG00000107447";"DNTT"
"3420";"ENSG00000107485";"ENSG00000107485";"GATA3"
"3421";"ENSG00000107518";"ENSG00000107518";"ATRNL1"
"3422";"ENSG00000107521";"ENSG00000107521";"HPS1"
"3423";"ENSG00000107537";"ENSG00000107537";"PHYH"
"3424";"ENSG00000107551";"ENSG00000107551";"RASSF4"
"3425";"ENSG00000107554";"ENSG00000107554";"DNMBP"
"3426";"ENSG00000107560";"ENSG00000107560";"RAB11FIP2"
"3427";"ENSG00000107562";"ENSG00000107562";"CXCL12"
"3428";"ENSG00000107566";"ENSG00000107566";"ERLIN1"
"3429";"ENSG00000107581";"ENSG00000107581";"EIF3A"
"3430";"ENSG00000107593";"ENSG00000107593";"PKD2L1"
"3431";"ENSG00000107611";"ENSG00000107611";"CUBN"
"3432";"ENSG00000107614";"ENSG00000107614";"TRDMT1"
"3433";"ENSG00000107625";"ENSG00000107625";"DDX50"
"3434";"ENSG00000107643";"ENSG00000107643";"MAPK8"
"3435";"ENSG00000107651";"ENSG00000107651";"SEC23IP"
"3436";"ENSG00000107669";"ENSG00000107669";"ATE1"
"3437";"ENSG00000107672";"ENSG00000107672";"NSMCE4A"
"3438";"ENSG00000107679";"ENSG00000107679";"PLEKHA1"
"3439";"ENSG00000107719";"ENSG00000107719";"PALD1"
"3440";"ENSG00000107731";"ENSG00000107731";"UNC5B"
"3441";"ENSG00000107736";"ENSG00000107736";"CDH23"
"3442";"ENSG00000107738";"ENSG00000107738";"VSIR"
"3443";"ENSG00000107742";"ENSG00000107742";"SPOCK2"
"3444";"ENSG00000107745";"ENSG00000107745";"MICU1"
"3445";"ENSG00000107758";"ENSG00000107758";"PPP3CB"
"3446";"ENSG00000107771";"ENSG00000107771";"CCSER2"
"3447";"ENSG00000107779";"ENSG00000107779";"BMPR1A"
"3448";"ENSG00000107789";"ENSG00000107789";"MINPP1"
"3449";"ENSG00000107796";"ENSG00000107796";"ACTA2"
"3450";"ENSG00000107798";"ENSG00000107798";"LIPA"
